Date,Open,High,Low,Close,Adj Close,Volume,Year,Price Change
2023-03-29,1966.1,1966.1,1966.1,1966.1,1966.1,21.0,2023,0.0
2023-03-28,1972.4,1972.4,1972.4,1972.4,1972.4,21.0,2023,0.0
2023-03-27,1957.2,1957.2,1952.4,1952.4,1952.4,877.0,2023,-4.7999999999999545
2023-03-24,1991.7,1995.4,1982.1,1982.1,1982.1,19.0,2023,-9.600000000000136
2023-03-23,1990.5,1994.6,1990.5,1993.8,1993.8,33.0,2023,3.2999999999999545
2023-03-22,1946.8,1974.0,1946.8,1946.8,1946.8,50.0,2023,0.0
2023-03-21,1973.8,1973.8,1938.0,1938.0,1938.0,47.0,2023,-35.799999999999955
2023-03-20,1988.3,2003.9,1968.9,1979.2,1979.2,389.0,2023,-9.099999999999907
2023-03-17,1946.0,1985.1,1946.0,1969.8,1969.8,82.0,2023,23.799999999999955
2023-03-16,1909.9,1931.7,1909.9,1919.0,1919.0,394.0,2023,9.099999999999907
2023-03-15,1903.9,1926.6,1898.5,1926.6,1926.6,564.0,2023,22.699999999999815
2023-03-14,1912.2,1912.2,1901.1,1906.2,1906.2,107.0,2023,-6.0
2023-03-13,1890.8,1913.1,1875.1,1911.7,1911.7,503.0,2023,20.90000000000009
2023-03-10,1852.3,1868.5,1852.0,1862.0,1862.0,248.0,2023,9.700000000000044
2023-03-09,1816.4,1829.3,1815.6,1829.3,1829.3,332.0,2023,12.899999999999864
2023-03-08,1811.6,1812.9,1811.5,1812.7,1812.7,75.0,2023,1.1000000000001364
2023-03-07,1840.9,1840.9,1813.9,1813.9,1813.9,450.0,2023,-27.0
2023-03-06,1853.3,1853.8,1844.2,1847.9,1847.9,5.0,2023,-5.399999999999864
2023-03-03,1837.3,1855.4,1837.3,1847.7,1847.7,61.0,2023,10.400000000000093
2023-03-02,1830.0,1836.3,1830.0,1833.5,1833.5,154.0,2023,3.5
2023-03-01,1827.1,1841.7,1827.1,1837.7,1837.7,211.0,2023,10.600000000000136
2023-02-28,1808.1,1830.0,1808.1,1828.9,1828.9,618.0,2023,20.800000000000185
2023-02-27,1811.6,1817.5,1808.9,1817.0,1817.0,829.0,2023,5.400000000000091
2023-02-24,1808.8,1808.8,1808.8,1808.8,1808.8,404.0,2023,0.0
2023-02-23,1826.4,1827.5,1818.0,1818.0,1818.0,291.0,2023,-8.400000000000091
